,title,desc,date,datetime,link,img,media,site,date2,proper_link
0,AppleMoreIntroducing Apple Vision Pro: Apple's first spatial computer,,"Jun 5, 2023",,news.google.com/articles/CBMiRGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA2L2ludHJvZHVjaW5nLWFwcGxlLXZpc2lvbi1wcm8v0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNXRZMkphWVZkWFpuRkJkVTFQVFJDb0FSaXNBaWdCTWdhVlVvN09NUWM=-w200-h112-p-df,Apple,,2023-06-05,https://www.apple.com/newsroom/2023/06/introducing-apple-vision-pro/\xd2\x01\x00'
1,AppleMoreApple announces App Store Small Business Program,,"Nov 18, 2020",,news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIwLzExL2FwcGxlLWFubm91bmNlcy1hcHAtc3RvcmUtc21hbGwtYnVzaW5lc3MtcHJvZ3JhbS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNUNkbTR0VmpBNFZ6Vk9UbE5oVFJDNUFSaVFBaWdCTWdhTlFvb3BJUWM=-w200-h112-p-df,Apple,,2020-11-18,https://www.apple.com/newsroom/2020/11/apple-announces-app-store-small-business-program/\xd2\x01\x00'
2,AppleMoreApple brings Final Cut Pro and Logic Pro to iPad,,"May 9, 2023",,news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA1L2FwcGxlLWJyaW5ncy1maW5hbC1jdXQtcHJvLWFuZC1sb2dpYy1wcm8tdG8taXBhZC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNVdjR1JFUzNCT1ExRnVVRVpxVFJDb0FSaXNBaWdCTWdZSmNKTEdyQWM=-w200-h112-p-df,Apple,,2023-05-09,https://www.apple.com/newsroom/2023/05/apple-brings-final-cut-pro-and-logic-pro-to-ipad/\xd2\x01\x00'
3,AppleMoreApple previews new entertainment experiences launching with Apple Vision Pro,,Jan 16,,news.google.com/articles/CBMidGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDI0LzAxL2FwcGxlLXByZXZpZXdzLW5ldy1lbnRlcnRhaW5tZW50LWV4cGVyaWVuY2VzLWxhdW5jaGluZy13aXRoLWFwcGxlLXZpc2lvbi1wcm8v0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNU1la1pEUXpNNFJtaEZhVmhrVFJDb0FSaXNBaWdCTWdheFU0eFJMUWM=-w200-h112-p-df,Apple,,2024-01-16,https://www.apple.com/newsroom/2024/01/apple-previews-new-entertainment-experiences-launching-with-apple-vision-pro/\xd2\x01\x00'
4,AppleMoreApple Vision Pro available in the U.S. on February 2,,Jan 8,,news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDI0LzAxL2FwcGxlLXZpc2lvbi1wcm8tYXZhaWxhYmxlLWluLXRoZS11cy1vbi1mZWJydWFyeS0yL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNTFSek5xY21FNGJUUmtRVlZPVFJEdkFSalRBU2dCTWdZbFpaTE5NUWM=-w200-h112-p-df,Apple,,2024-01-08,https://www.apple.com/newsroom/2024/01/apple-vision-pro-available-in-the-us-on-february-2/\xd2\x01\x00'
5,AppleMoreApple advances user security with powerful new data protections,,"Dec 7, 2022",,news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIyLzEyL2FwcGxlLWFkdmFuY2VzLXVzZXItc2VjdXJpdHktd2l0aC1wb3dlcmZ1bC1uZXctZGF0YS1wcm90ZWN0aW9ucy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNWhNRU5RUTBRelFsVkVjVWx6VFJDb0FSaXNBaWdCTWdZcEpaTE5uUWM=-w200-h112-p-df,Apple,,2022-12-07,https://www.apple.com/newsroom/2022/12/apple-advances-user-security-with-powerful-new-data-protections/\xd2\x01\x00'
6,"AppleMoreApple previews Live Speech, Personal Voice, and more new accessibility features",,"May 16, 2023",,news.google.com/articles/CBMidWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA1L2FwcGxlLXByZXZpZXdzLWxpdmUtc3BlZWNoLXBlcnNvbmFsLXZvaWNlLWFuZC1tb3JlLW5ldy1hY2Nlc3NpYmlsaXR5LWZlYXR1cmVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iL0NnNXNPVE00WTB4U1RXRkllVEp1VFJDLUFSaUtBaWdCTWdtVlFZelZSR1dhaHdJ=-w200-h112-p-df,Apple,,2023-05-16,https://www.apple.com/newsroom/2023/05/apple-previews-live-speech-personal-voice-and-more-new-accessibility-features/\xd2\x01\x00'
7,AppleMoreApple unveils iPhone 15 Pro and iPhone 15 Pro Max,,Sep 12,,news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLXVudmVpbHMtaXBob25lLTE1LXByby1hbmQtaXBob25lLTE1LXByby1tYXgv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNTZSM0JXUkRKeE5EQnhWV2RsVFJDb0FSaXNBaWdCTWdZUmM0b3BLZ2M=-w200-h112-p-df,Apple,,2024-09-12,https://www.apple.com/newsroom/2023/09/apple-unveils-iphone-15-pro-and-iphone-15-pro-max/\xd2\x01\x00'
8,AppleMoreIntroducing the next generation of Mac,,"Nov 10, 2020",,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIwLzExL2ludHJvZHVjaW5nLXRoZS1uZXh0LWdlbmVyYXRpb24tb2YtbWFjL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNTRORWxrU0RGcE0xSnFha1pGVFJDb0FSaXNBaWdCTWdZSmc1Sm9zUWM=-w200-h112-p-df,Apple,,2020-11-10,https://www.apple.com/newsroom/2020/11/introducing-the-next-generation-of-mac/\xd2\x01\x00'
9,AppleMoreApple expands Self Service Repair and introduces new Diagnostics process,,Dec 13,,news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzEyL2FwcGxlLWV4cGFuZHMtc2VsZi1zZXJ2aWNlLXJlcGFpci1hbmQtaW50cm9kdWNlcy1uZXctZGlhZ25vc3RpY3MtcHJvY2Vzcy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNVpVRlZhVjI1WFFtZDJjVkF4VFJDakFSaTJBaWdCTWdhcGhaRE5zUVk=-w200-h112-p-df,Apple,,2024-12-13,https://www.apple.com/newsroom/2023/12/apple-expands-self-service-repair-and-introduces-new-diagnostics-process/\xd2\x01\x00'
10,AppleMoreApple announces more than 600 new apps built for Apple Vision Pro,,8 days ago,2024-02-01 15:24:33.445834,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDI0LzAyL2FwcGxlLWFubm91bmNlcy1tb3JlLXRoYW4tNjAwLW5ldy1hcHBzLWJ1aWx0LWZvci1hcHBsZS12aXNpb24tcHJvL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNTVibmx4U1ZGQlRuZGpjV2R0VFJDb0FSaXNBaWdCTWdZUmdJaHFzUVU=-w200-h112-p-df,Apple,,,https://www.apple.com/newsroom/2024/02/apple-announces-more-than-600-new-apps-built-for-apple-vision-pro/\xd2\x01\x00'
11,AppleMoreApple extends Emergency SOS via satellite for an additional free year for existing iPhone 14 users,,Nov 15,,news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzExL2FwcGxlLWV4dGVuZHMtZW1lcmdlbmN5LXNvcy12aWEtc2F0ZWxsaXRlLWZvci1hbi1hZGRpdGlvbmFsLWZyZWUteWVhci_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNXJkVXd6ZUY5SFoyY3dUVmQ0VFJDb0FSaXNBaWdCTWdZcGhaRE5zUVk=-w200-h112-p-df,Apple,,2024-11-15,https://www.apple.com/newsroom/2023/11/apple-extends-emergency-sos-via-satellite-for-an-additional-free-year/\xd2\x01\x00'
12,AppleMoreIntroducing Apple Business Connect,,"Jan 11, 2023",,news.google.com/articles/CBMiSmh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzAxL2ludHJvZHVjaW5nLWFwcGxlLWJ1c2luZXNzLWNvbm5lY3Qv0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNTZUVGswU25jMk5GSllXQzFLVFJDS0FoaS1BU2dCTWdZZE5JcnNvUVU=-w200-h112-p-df,Apple,,2023-01-11,https://www.apple.com/newsroom/2023/01/introducing-apple-business-connect/\xd2\x01\x00'
13,AppleMoreApple's Worldwide Developers Conference returns in its all-online format,,"Apr 5, 2022",,news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIyLzA0L2FwcGxlcy13b3JsZHdpZGUtZGV2ZWxvcGVycy1jb25mZXJlbmNlLXJldHVybnMtaW4taXRzLWFsbC1vbmxpbmUtZm9ybWF0L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNHdablJDTkd4S1MyMHdkRmxIVFJDb0FSaXNBaWdCTWdhbGRJN050UVk=-w200-h112-p-df,Apple,,2022-04-05,https://www.apple.com/newsroom/2022/04/apples-worldwide-developers-conference-returns-in-its-all-online-format/\xd2\x01\x00'
14,AppleMoreApple launches Self Service Repair in Europe,,"Dec 6, 2022",,news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIyLzEyL2FwcGxlLWxhdW5jaGVzLXNlbGYtc2VydmljZS1yZXBhaXItaW4tZXVyb3BlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iMkNnNXhSM281WTA1V05FVTVZVk56VFJDMUFSaVdBaWdCTWd1QkFZaEhIV1p6RkZueW1R=-w200-h112-p-df,Apple,,2022-12-06,https://www.apple.com/newsroom/2022/12/apple-launches-self-service-repair-in-europe/\xd2\x01\x00'
15,AppleMoreApple introduces Apple Music Sing,,"Dec 6, 2022",,news.google.com/articles/CBMiSWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIyLzEyL2FwcGxlLWludHJvZHVjZXMtYXBwbGUtbXVzaWMtc2luZy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNXRVRUZQWjNwTlNFSnhRMmt4VFJDbUFSaXdBaWdCTWdZSmdveUlxZ2M=-w200-h112-p-df,Apple,,2022-12-06,https://www.apple.com/newsroom/2022/12/apple-introduces-apple-music-sing/\xd2\x01\x00'
16,AppleMoreApple unveils new Mac Studio and brings Apple silicon to Mac Pro,,"Jun 5, 2023",,news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA2L2FwcGxlLXVudmVpbHMtbmV3LW1hYy1zdHVkaW8tYW5kLWJyaW5ncy1hcHBsZS1zaWxpY29uLXRvLW1hYy1wcm8v0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNXZVVGN4UVVGVE9ESkpMVXBRVFJEaEFSamhBU2dCTWdhZE1vSXpJUWc=-w200-h112-p-df,Apple,,2023-06-05,https://www.apple.com/newsroom/2023/06/apple-unveils-new-mac-studio-and-brings-apple-silicon-to-mac-pro/\xd2\x01\x00'
17,AppleMoreiPhone 15 Pro and iPhone 15 Pro Max,,Sep 12,,news.google.com/articles/CBMiJGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9pcGhvbmUtMTUtcHJvL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNWpVMTl4ZFdGVVJGVXhWblJCVFJDakFSaTJBaWdCTWdhZGdvNXNzUVk=-w200-h112-p-df,Apple,,2024-09-12,https://www.apple.com/iphone-15-pro/\xd2\x01\x00'
18,AppleMoreEmergency SOS via satellite made possible by $450M Apple investment,,"Nov 10, 2022",,news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIyLzExL2VtZXJnZW5jeS1zb3MtdmlhLXNhdGVsbGl0ZS1tYWRlLXBvc3NpYmxlLWJ5LTQ1MG0tYXBwbGUtaW52ZXN0bWVudC_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNDVhM3BJTUVWNWMwRkNVamhLVFJDb0FSaXNBaWdCTWdZbEpZak9uUVk=-w200-h112-p-df,Apple,,2022-11-10,https://www.apple.com/newsroom/2022/11/emergency-sos-via-satellite-made-possible-by-450m-apple-investment/\xd2\x01\x00'
19,"AppleMoreApple unveils App Store Award winners, the best apps and games of 2023",,Nov 29,,news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzExL2FwcGxlLXVudmVpbHMtYXBwLXN0b3JlLWF3YXJkLXdpbm5lcnMtdGhlLWJlc3QtYXBwcy1hbmQtZ2FtZXMtb2YtMjAyMy_SAQA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNTRkbmw0WTNsTldXRkxVVGxOVFJDb0FSaXNBaWdCTWdZdGhZN09OUVk=-w200-h112-p-df,Apple,,2024-11-29,https://www.apple.com/newsroom/2023/11/apple-unveils-app-store-award-winners-the-best-apps-and-games-of-2023/\xd2\x01\x00'
20,AppleMoreiPhone SE: A powerful new smartphone in a popular design,,"Apr 15, 2020",,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIwLzA0L2lwaG9uZS1zZS1hLXBvd2VyZnVsLW5ldy1zbWFydHBob25lLWluLWEtcG9wdWxhci1kZXNpZ24v0gEA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNXNSbWt0TW1GRldqaEVaRFp5VFJDdkFSaWZBaWdCTWdZaGc0U01TUU0=-w200-h112-p-df,Apple,,2020-04-15,https://www.apple.com/newsroom/2020/04/iphone-se-a-powerful-new-smartphone-in-a-popular-design/\xd2\x01\x00'
21,AppleMoreiOS 17 makes iPhone more personal and intuitive,,"Jun 5, 2023",,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA2L2lvcy0xNy1tYWtlcy1pcGhvbmUtbW9yZS1wZXJzb25hbC1hbmQtaW50dWl0aXZlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iL0NnNXphRUU1YjFOYWVuTkhTVmx2VFJDM0FSaVRBaWdCTWdrRmNZcmtzdVl0ekFF=-w200-h112-p-df,Apple,,2023-06-05,https://www.apple.com/newsroom/2023/06/ios-17-makes-iphone-more-personal-and-intuitive/\xd2\x01\x00'
22,AppleMoreDeveloper tools to create spatial experiences for Apple Vision Pro now available,,"Jun 21, 2023",,news.google.com/articles/CBMieGh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA2L2RldmVsb3Blci10b29scy10by1jcmVhdGUtc3BhdGlhbC1leHBlcmllbmNlcy1mb3ItYXBwbGUtdmlzaW9uLXByby1ub3ctYXZhaWxhYmxlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNHdOVmQwWWxGMU1YaGhhWGcxVFJDb0FSaXNBaWdCTWdhbE1aRE5tUWs=-w200-h112-p-df,Apple,,2023-06-21,https://www.apple.com/newsroom/2023/06/developer-tools-to-create-spatial-experiences-for-apple-vision-pro-now-available/\xd2\x01\x00'
23,AppleMoreApple debuts iPhone 15 and iPhone 15 Plus,,Sep 12,,news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LmFwcGxlLmNvbS9uZXdzcm9vbS8yMDIzLzA5L2FwcGxlLWRlYnV0cy1pcGhvbmUtMTUtYW5kLWlwaG9uZS0xNS1wbHVzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,/api/attachments/CC8iK0NnNW1SRU5JY3pGdGFWOXdUbVJ6VFJDS0FoaS1BU2dCTWdZaFU0NVV0UWM=-w200-h112-p-df,Apple,,2024-09-12,https://www.apple.com/newsroom/2023/09/apple-debuts-iphone-15-and-iphone-15-plus/\xd2\x01\x00'
